lat,lon,name,count,source
14.497401,-14.452362,senegal,5,Al Jazeera
47.411631,28.369885,moldova,4,Al Jazeera
56.879635,24.603189,latvia,7,Al Jazeera
-22.95764,18.49041,namibia,2,Al Jazeera
43.915886,17.679076,bosnia and herzegovina,1,Al Jazeera
15.454166,18.732207,chad,6,Al Jazeera
46.818188,8.227512,switzerland,5,Al Jazeera
42.733883,25.48583,bulgaria,3,Al Jazeera
18.109581,-77.297508,jamaica,1,Al Jazeera
41.153332,20.168331,albania,2,Al Jazeera
15.199999,-86.241905,honduras,5,Al Jazeera
33.854721,35.862285,lebanon,18,Al Jazeera
4.210484,101.975766,malaysia,7,Al Jazeera
39.074208,21.824312,greece,24,Al Jazeera
12.865416,-85.207229,nicaragua,5,Al Jazeera
56.130366,-106.346771,canada,30,Al Jazeera
33.93911,67.709953,afghanistan,30,Al Jazeera
25.354826,51.183884,qatar,9,Al Jazeera
38.969719,59.556278,turkmenistan,1,Al Jazeera
12.862807,30.217636,sudan,17,Al Jazeera
29.31166,47.481766,kuwait,6,Al Jazeera
8.537981,-80.782127,panama,4,Al Jazeera
28.394857,84.124008,nepal,21,Al Jazeera
6.611111,20.939444,central african republic,4,Al Jazeera
49.815273,6.129583,luxembourg,5,Al Jazeera
5.152149,46.199616,somalia,21,Al Jazeera
64.963051,-19.020835,iceland,3,Al Jazeera
45.1,15.2,croatia,5,Al Jazeera
6.42375,-66.58973,venezuela,12,Al Jazeera
32.427908,53.688046,iran,104,Al Jazeera
23.424076,53.847818,united arab emirates,9,Al Jazeera
7.873054,80.771797,sri lanka,4,Al Jazeera
35.86166,104.195397,china,53,Al Jazeera
40.069099,45.038189,armenia,13,Al Jazeera
15.870032,100.992541,thailand,6,Al Jazeera
33.223191,43.679291,iraq,88,Al Jazeera
23.684994,90.356331,bangladesh,11,Al Jazeera
48.379433,31.16558,ukraine,31,Al Jazeera
26.3351,17.228331,libya,32,Al Jazeera
21.512583,55.923255,oman,161,Al Jazeera
61.92411,25.748151,finland,2,Al Jazeera
41.608635,21.745275,macedonia,3,Al Jazeera
61.52401,105.318756,russia,63,Al Jazeera
-20.348404,57.552152,mauritius,1,Al Jazeera
7.131474,171.184478,marshall islands,2,Al Jazeera
34.802075,38.996815,syria,64,Al Jazeera
18.735693,-70.162651,dominican republic,1,Al Jazeera
49.214439,-2.13125,jersey,20,Al Jazeera
21.913965,95.956223,burma,1,Al Jazeera
30.375321,69.345116,pakistan,33,Al Jazeera
45.943161,24.96676,romania,4,Al Jazeera
49.817492,15.472962,czech republic,4,Al Jazeera
21.913965,95.956223,myanmar,5,Al Jazeera
26.820553,30.802498,egypt,33,Al Jazeera
13.444304,144.793731,guam,1,Al Jazeera
37.09024,-95.712891,united states,257,Al Jazeera
47.516231,14.550072,austria,6,Al Jazeera
71.706936,-42.604303,greenland,2,Al Jazeera
47.162494,19.503304,hungary,5,Al Jazeera
4.570868,-74.297333,colombia,9,Al Jazeera
-11.202692,17.873887,angola,1,Al Jazeera
17.607789,8.081666,niger,26,Al Jazeera
-16.578193,179.414413,fiji,1,Al Jazeera
38.963745,35.243322,turkey,40,Al Jazeera
23.885942,45.079162,saudi arabia,41,Al Jazeera
39.399872,-8.224454,portugal,6,Al Jazeera
21.00789,-10.940835,mauritania,3,Al Jazeera
-32.522779,-55.765835,uruguay,1,Al Jazeera
46.227638,2.213749,france,59,Al Jazeera
48.669026,19.699024,slovakia,2,Al Jazeera
-9.189967,-75.015152,peru,8,Al Jazeera
19.85627,102.495496,laos,3,Al Jazeera
35.907757,127.766922,south korea,14,Al Jazeera
-16.290154,-63.588653,bolivia,5,Al Jazeera
-13.254308,34.301525,malawi,1,Al Jazeera
-1.831239,-78.183406,ecuador,6,Al Jazeera
31.046051,34.851612,israel,55,Al Jazeera
53.41291,-8.24389,ireland,3,Al Jazeera
28.033886,1.659626,algeria,4,Al Jazeera
44.016521,21.005859,serbia,4,Al Jazeera
31.354676,34.308825,gaza strip,6,Al Jazeera
8.619543,0.824782,togo,3,Al Jazeera
30.585164,36.238414,jordan,23,Al Jazeera
-35.675147,-71.542969,chile,15,Al Jazeera
14.641528,-61.024174,martinique,1,Al Jazeera
9.081999,8.675277,nigeria,24,Al Jazeera
40.463667,-3.74922,spain,15,Al Jazeera
42.315407,43.356892,georgia,16,Al Jazeera
31.791702,-7.09262,morocco,2,Al Jazeera
60.128161,18.643501,sweden,6,Al Jazeera
-0.803689,11.609444,gabon,3,Al Jazeera
17.570692,-3.996166,mali,74,Al Jazeera
15.552727,48.516388,yemen,42,Al Jazeera
